frequency_Hz,amplitude,ell_ln_f,log1p_amplitude,trend,y_detrended
316.0,1.1210467020291714,5.755742213586912,0.751909694212916,1.283850289680953,-0.8501844364754491
318.0,2.5751435116485535,5.762051382780177,1.274005318458734,1.2828254233504965,-0.01409690475016205
320.0,3.39994201795894,5.768320995793772,1.481591363100784,1.2818019514385166,0.31931732568444793
322.0,3.430490208163945,5.7745515455444085,1.4885102344054852,1.2807798878180932,0.3320090798801681
324.0,3.7574965687615567,5.780743515792329,1.5597215989606992,1.279759245718804,0.4474552939804784
326.0,3.7716610619174897,5.786897381366708,1.56269447529186,1.278740037749666,0.45383572061106053
328.0,4.342911769990949,5.793013608384144,1.6757707796427617,1.2777222759212,0.6361887882022838
330.0,4.281042492393637,5.799092654460526,1.664123519970334,1.2767059716666609,0.6191976562635738
332.0,2.605021155400386,5.805134968916488,1.2823276390693155,1.2756911358624607,0.010606920748590088
334.0,1.7394706514900826,5.811140992976701,1.007764708848998,1.274677778847832,-0.42659902240630215
336.0,4.767930523953265,5.817111159963204,1.75231335482572,1.2736659104437442,0.7650076178417105
338.0,4.052742062048925,5.823045895483019,1.6199310785095116,1.2726555399711224,0.5550399058642805
340.0,2.565001575012521,5.8289456176102075,1.2711644956649053,1.2716466762683847,-0.0007706545583117429
342.0,1.0630115858411247,5.834810737062605,0.7241668500894015,1.2706393277083345,-0.8734103006840581
344.0,0.7312449291368809,5.840641657373398,0.5488407619308138,1.2696335022144303,-1.152021062003047
346.0,2.9068267762402664,5.846438775057725,1.3627254783201979,1.268629207276454,0.1503912012982913
348.0,2.463018981530239,5.8522024797744745,1.2421407466441423,1.2676264499656142,-0.040733022636637715
350.0,0.7715535754296664,5.857933154483459,0.5718568878407718,1.2666252369490951,-1.1104270709926116
352.0,1.1067144935244584,5.863631175598097,0.7451296218553253,1.2656255745040799,-0.8318928127699614
354.0,1.7604341202366411,5.869296913133774,1.0153879573011049,1.2646274685312684,-0.39835191223972954
356.0,3.3321031416595788,5.87493073085203,1.466053138102672,1.2636309245679078,0.3235252526510874
358.0,25.767556060684164,5.8805329864007,3.287190559404466,1.2626359478003573,3.2357839131753887
360.0,47.97062945631309,5.886104031450156,3.891220719548566,1.2616425430762057,4.202774631564337
362.0,21.079964971672236,5.8916442118257715,3.094670634979748,1.2606507149159558,2.931258124513408
364.0,2.525314279425526,5.8971538676367405,1.2599695895737948,1.259660467524297,0.0004940603475151742
366.0,2.6912419979875577,5.902633333401366,1.3059629862409488,1.2586718048009804,0.07558405353030367
368.0,3.468968232598199,5.908082938168931,1.4971575615345076,1.2576847303513086,0.38274212527722384
370.0,3.212290287286463,5.91350300563827,1.4380065110057632,1.2566992474962642,0.28977787175671826
372.0,4.133655438731071,5.918893854273146,1.6358179665876666,1.255715359282278,0.6075064090764595
374.0,1.8483138623503979,5.924255797414532,1.0467271919546277,1.2547330684906617,-0.332449450997007
376.0,1.6640791539449264,5.929589143389895,0.9798584646785261,1.2537523776467123,-0.43775629089941326
378.0,0.8427365127586043,5.934894195619588,0.6112517019768267,1.2527732890285024,-1.0253243945303234
380.0,1.0465797491354083,5.940171252720432,0.7161699847400077,1.2517958046753679,-0.8560744183902154
382.0,2.112052521761463,5.945420608606575,1.135282483346434,1.2508199263961044,-0.18465997283882934
384.0,1.1623285522012095,5.950642552587727,0.7711856744618022,1.2498456557768804,-0.765027655239675
386.0,3.070742068507194,5.955837369464831,1.403825309249607,1.2488729941888894,0.24765556113375853
388.0,3.630960347163578,5.961005339623274,1.532764264983783,1.2479019427957296,0.45528676496187864
390.0,3.302791295256712,5.966146739123692,1.4592639505320923,1.2469325025605429,0.33936287994879116
392.0,4.477062006133407,5.971261839790462,1.7005688269230774,1.245964674252912,0.7265799577060241
394.0,5.99604673839073,5.976350909297934,1.9453452378645613,1.2449984584555178,1.119342906072772
