f1,f2,f3,A1,A2,A3,Q_low_f1_over_f2,Q_high_f3_over_2f2,Q_mean,koide_error,integer_120_240_360_error
120.0,240.0,480.0,191.0041638896968,114.98756651269008,17.840661429564747,0.5,1.0,0.75,0.37267799624996495,120.0
60.0,120.0,240.0,60.42672558549216,191.0041638896968,114.98756651269008,0.5,1.0,0.75,0.37267799624996495,180.0
120.0,360.0,600.0,191.0041638896968,47.97062945631309,13.944731684048108,0.3333333333333333,0.8333333333333334,0.5833333333333334,0.37267799624996495,268.32815729997475
60.0,240.0,300.0,60.42672558549216,114.98756651269008,14.051172706745088,0.25,0.625,0.4375,0.41874481754670373,84.8528137423857
120.0,480.0,600.0,191.0041638896968,17.840661429564747,13.944731684048108,0.25,0.625,0.4375,0.41874481754670373,339.4112549695428
60.0,240.0,360.0,60.42672558549216,114.98756651269008,47.97062945631309,0.25,0.75,0.5,0.4249182927993987,60.0
120.0,300.0,600.0,191.0041638896968,14.051172706745088,13.944731684048108,0.4,1.0,0.7,0.42687494916218993,247.38633753705963
60.0,300.0,360.0,60.42672558549216,14.051172706745088,47.97062945631309,0.2,0.6,0.4,0.4714045207910316,84.8528137423857
60.0,180.0,360.0,60.42672558549216,39.132058328801165,47.97062945631309,0.3333333333333333,1.0,0.6666666666666666,0.4714045207910317,84.8528137423857
60.0,300.0,480.0,60.42672558549216,14.051172706745088,17.840661429564747,0.2,0.8,0.5,0.48534065928536785,146.9693845669907
60.0,360.0,480.0,60.42672558549216,47.97062945631309,17.840661429564747,0.16666666666666666,0.6666666666666666,0.41666666666666663,0.5,180.0
60.0,360.0,600.0,60.42672558549216,47.97062945631309,13.944731684048108,0.16666666666666666,0.8333333333333334,0.5,0.5270462766947299,274.9545416973504
60.0,240.0,480.0,60.42672558549216,114.98756651269008,17.840661429564747,0.25,1.0,0.625,0.5335936864527374,134.16407864998737
60.0,480.0,600.0,60.42672558549216,17.840661429564747,13.944731684048108,0.125,0.625,0.375,0.5432668671002207,344.6737587922817
60.0,300.0,600.0,60.42672558549216,14.051172706745088,13.944731684048108,0.2,1.0,0.6,0.5734883511361751,254.55844122715712
180.0,240.0,600.0,39.132058328801165,114.98756651269008,13.944731684048108,0.75,1.25,1.0,0.5892556509887897,247.38633753705963
60.0,120.0,300.0,60.42672558549216,191.0041638896968,14.051172706745088,0.5,1.25,0.875,0.60667582410671,146.9693845669907
120.0,240.0,600.0,191.0041638896968,114.98756651269008,13.944731684048108,0.5,1.25,0.875,0.60667582410671,240.0
120.0,180.0,480.0,191.0041638896968,39.132058328801165,17.840661429564747,0.6666666666666666,1.3333333333333333,1.0,0.6666666666666666,134.16407864998737
60.0,240.0,600.0,60.42672558549216,114.98756651269008,13.944731684048108,0.25,1.25,0.75,0.7168604389202189,247.38633753705963
60.0,180.0,480.0,60.42672558549216,39.132058328801165,17.840661429564747,0.3333333333333333,1.3333333333333333,0.8333333333333333,0.7453559924999299,146.9693845669907
60.0,120.0,360.0,60.42672558549216,191.0041638896968,47.97062945631309,0.5,1.5,1.0,0.8498365855987975,134.16407864998737
120.0,180.0,600.0,191.0041638896968,39.132058328801165,13.944731684048108,0.6666666666666666,1.6666666666666667,1.1666666666666667,1.0,247.38633753705963
60.0,180.0,600.0,60.42672558549216,39.132058328801165,13.944731684048108,0.3333333333333333,1.6666666666666667,1.0,1.0540925533894598,254.55844122715712
60.0,120.0,480.0,60.42672558549216,191.0041638896968,17.840661429564747,0.5,2.0,1.25,1.343709624716425,180.0
60.0,120.0,600.0,60.42672558549216,191.0041638896968,13.944731684048108,0.5,2.5,1.5,1.8408935028645437,274.9545416973504
