null_best_delta_chi2,null_best_k
6.927341003362244,70.83533383345836
11.581088159699675,79.90060015003752
7.458851791120992,1.0765191297824457
7.202648559547583,54.47411852963241
9.175909932937941,54.73255813953489
12.646662591928248,27.258439609902478
8.73203536274093,26.045761440360092
15.41004556833542,18.789572393098275
7.927800559051832,20.34021005251313
11.2265733022694,64.91110277569393
6.889282926728413,56.44223555888973
7.527065634699909,10.877344336084022
10.242503961459136,57.05851462865717
7.864650624484625,52.38672168042011
12.794921321267168,54.45423855963991
10.777693334200592,3.5416354088522133
11.692858473033596,48.589647411852965
7.431301605437852,19.127531882970743
9.655483957933939,3.6807951987997
9.194751089743988,76.69992498124532
8.40194177514877,20.97636909227307
10.396252112116201,14.217179294823707
16.915169466902057,47.69504876219055
4.948144931876357,59.28507126781696
10.082442098052695,17.179294823705927
11.575683029473737,66.46174043510878
16.537739625879055,61.65078769692423
6.887518612685085,43.67929482370593
9.348418974940728,77.95236309077269
9.438683568447118,79.88072018004502
8.670103945394317,58.012753188297076
7.760485939069156,11.950862715678921
8.001029984727325,29.54463615903976
5.601800216277866,59.28507126781696
9.436253861066007,23.461365341335334
9.566869806363854,3.342835708927232
14.24036694811548,46.68117029257315
9.973787345429287,65.30870217554389
7.900332657150045,0.5
8.11797018273188,10.758064516129034
11.017105687230867,38.33158289572393
12.441706900177735,60.259189797449366
6.302035748305855,73.95648912228057
13.459031473984453,56.481995498874724
13.866704746872358,14.336459114778696
8.188068253177903,76.18304576144037
9.172959942925843,60.895348837209305
10.148524271221845,20.161290322580648
12.325576659550052,75.42760690172544
7.098982028278442,1.8120780195048762
10.976178133435326,65.98462115528882
5.949853007672743,51.889722430607655
8.34448280505228,0.5
10.850890508851705,74.27456864216055
9.392240816432263,36.283945986496626
10.863590387718716,46.581770442610654
6.511711798912472,14.893098274568644
6.3112206814194565,32.307951987997
13.633637342113957,20.14141035258815
7.848471912958132,13.839459864966242
8.342079854551628,74.87096774193549
5.2346103322242925,39.584021005251316
11.628778457687929,47.655288822205556
8.165602212420822,3.024756189047262
9.041209621285702,24.77344336084021
8.89912735636858,80.0
7.716157972302426,26.443360840210055
12.854279896274818,52.60540135033759
9.26409411823795,49.72280570142536
9.573426085168592,67.93285821455365
8.380416551971962,27.95423855963991
6.887369324194992,44.69317329332333
11.981635454225454,23.839084771192802
7.348856053876659,74.95048762190548
8.011284207358926,25.707801950487625
8.599705619114161,32.82483120780196
11.815430775953814,42.168417104276074
15.387171350963513,13.740060015003753
6.753735054361584,34.41522880720181
11.043975720126355,76.7396849212303
12.090883117639748,48.72880720180046
6.00830568865581,37.277944486121534
10.681530397146844,55.32895723930983
8.080846270458665,55.44823705926482
10.395111494270736,24.077644411102778
11.627671595491108,34.216429107276824
8.564836215438504,52.14816204051013
10.819749048787685,39.524381095273824
7.696307328352759,66.10390097524382
10.016046971174319,49.225806451612904
10.195350822116325,79.80120030007502
11.235918181302452,52.426481620405106
14.825134321936105,16.205176294073517
9.376424735672003,27.993998499624908
12.407792714051084,18.391972993248313
8.85352251921762,10.380345086271568
7.176746185877221,7.577269317329333
6.951096792355088,63.1020255063766
10.497794737773745,62.14778694673669
9.115375257922437,15.569017254313579
6.054170951287745,74.7516879219805
13.723153600102592,2.885596399099775
8.773876274007876,70.71605401350338
6.993798507690542,38.57014253563391
8.641249800401226,48.74868717179295
9.242719441609324,60.27906976744187
9.87214451790868,69.66241560390098
7.456877871622055,20.061890472618156
4.8809885365785135,9.167666916729184
9.344330104148867,31.91035258814704
10.680677671815886,50.55776444111028
10.452755403646108,49.40472618154539
7.55650432706085,52.88372093023256
9.358342535245583,64.71230307576894
8.165223045568553,55.56751687921981
15.675048596213799,45.84621155288823
9.581375570646685,28.650037509377345
9.259124013550093,28.769317329332335
8.135067371649654,30.180795198799704
8.413972159574314,12.646661665416355
12.309042832670855,62.66466616654164
12.37510402855446,41.711177794448616
8.50364943149367,56.601275318829714
9.276244481030972,74.7119279819955
13.053317162544886,74.65228807201801
7.553127408343926,14.058139534883722
7.603236805736913,31.294073518379598
14.527836245132505,22.34808702175544
9.447070191194598,38.39122280570143
7.294293855904584,50.73668417104277
6.165988373338337,79.94036009002251
10.086735436695221,6.662790697674419
7.584606349502906,15.529257314328584
14.549427279889017,71.51125281320331
10.2087368172036,21.751687921980498
9.155586654470369,4.058514628657164
6.320017056011238,69.06601650412604
8.478577789738438,35.01162790697675
7.49974263547864,72.32633158289573
10.9913701982926,52.60540135033759
8.895204187748163,77.9722430607652
7.09679948135323,20.99624906226557
11.631802547958387,42.526256564141036
7.5461139743030685,42.50637659414854
7.265020610631325,66.02438109527382
15.294848439986254,9.545386346586648
13.270669675805607,50.478244561140286
5.534769168303569,76.68004501125282
13.85700914428935,46.42273068267067
6.100811211622272,76.8987246811703
8.640411346849646,39.822580645161295
10.989078097925585,18.034133533383347
6.726610621485747,39.62378094523631
9.829481457011127,26.145161290322584
7.287367635579869,68.96661665416354
7.6369542919146625,54.71267816954239
8.945214316108661,37.29782445611403
14.149231427004167,39.54426106526632
8.037932709818733,71.35221305326333
9.561537814263374,17.775693923480873
12.94833627193367,62.66466616654164
8.259135048660994,62.903225806451616
9.766021500871716,73.45948987246813
7.7702395316110255,37.67554388597149
10.748011511762968,14.356339084771195
8.008994808158207,76.8589647411853
8.321094670691707,32.02963240810203
7.7852994730949945,53.22168042010503
7.71071597102997,69.16541635408852
7.746905957641445,27.53675918979745
10.088586679010007,27.21867966991748
9.660215072158621,49.58364591147787
7.345063326534159,56.362715678919734
8.544101364214953,14.674418604651164
11.791982077776652,49.66316579144787
7.85123445279504,3.819954988747187
11.226490493270717,0.5
8.14448554331102,47.178169542385604
8.855076992487795,61.41222805701426
7.057980024837661,28.53075768942236
6.492887635599118,53.26144036009003
14.47800530499228,24.693923480870218
10.337001500549661,73.14141035258815
9.485201381247691,69.12565641410353
11.387902264493107,57.69467366841711
6.078329391510863,57.953113278319584
8.238736264973966,63.69842460615154
11.737219815421554,4.893473368342086
11.475046922832576,1.4939984996249063
8.03620030792041,50.63728432108027
10.340552839620386,80.0
10.498497223811398,5.847711927981996
10.681235354774401,46.462490622655665
10.383986207588123,58.788072018004506
9.266441723886942,23.580645161290324
6.9785798810957544,2.507876969242311
9.656719203384796,29.644036009002253
14.600299403677298,52.68492123030758
8.696918543688582,7.100150037509378
12.896802342070032,22.90472618154539
8.218623866463759,50.14028507126782
10.463259388271808,2.5675168792198053
9.879493642609077,29.306076519129785
11.904037847635038,61.65078769692423
