"f1","f2","f3","A1","A2","A3","Q_low","Q_high","Q_mean","koide_error","ratio_234_error"
120,180,360,191.004163889697,39.1320583288012,47.9706294563131,0.666666666666667,1,0.833333333333333,0.333333333333333,0.25
180,300,600,39.1320583288012,14.0511727067451,13.9447316840481,0.6,1,0.8,0.339934634239519,0.258736244937667
180,240,480,39.1320583288012,114.98756651269,17.8406614295647,0.75,1,0.875,0.343592135468138,0.263523138347365
240,300,600,114.98756651269,14.0511727067451,13.9447316840481,0.8,1,0.9,0.3590109871423,0.283333333333333
60,120,240,60.4267255854921,191.004163889697,114.98756651269,0.5,1,0.75,0.372677996249965,0.300462606288666
60,180,300,60.4267255854921,39.1320583288012,14.0511727067451,0.333333333333333,0.833333333333333,0.583333333333333,0.372677996249965,0.365528536657688
120,240,480,191.004163889697,114.98756651269,17.8406614295647,0.5,1,0.75,0.372677996249965,0.300462606288666
120,360,600,191.004163889697,47.9706294563131,13.9447316840481,0.333333333333333,0.833333333333333,0.583333333333333,0.372677996249965,0.365528536657688
60,240,300,60.4267255854921,114.98756651269,14.0511727067451,0.25,0.625,0.4375,0.418744817546704,0.419655943733806
120,480,600,191.004163889697,17.8406614295647,13.9447316840481,0.25,0.625,0.4375,0.418744817546704,0.419655943733806
60,240,360,60.4267255854921,114.98756651269,47.9706294563131,0.25,0.75,0.5,0.424918292799399,0.424918292799399
120,300,600,191.004163889697,14.0511727067451,13.9447316840481,0.4,1,0.7,0.42687494916219,0.365528536657688
60,300,360,60.4267255854921,14.0511727067451,47.9706294563131,0.2,0.6,0.4,0.471404520791032,0.47404875511093
60,180,360,60.4267255854921,39.1320583288012,47.9706294563131,0.333333333333333,1,0.666666666666667,0.471404520791032,0.416666666666667
60,300,480,60.4267255854921,14.0511727067451,17.8406614295647,0.2,0.8,0.5,0.485340659285368,0.483117768021191
60,360,480,60.4267255854921,47.9706294563131,17.8406614295647,0.166666666666667,0.666666666666667,0.416666666666667,0.5,0.5
60,360,600,60.4267255854921,47.9706294563131,13.9447316840481,0.166666666666667,0.833333333333333,0.5,0.52704627669473,0.522015325445528
60,240,480,60.4267255854921,114.98756651269,17.8406614295647,0.25,1,0.625,0.533593686452737,0.485912657903775
60,480,600,60.4267255854921,17.8406614295647,13.9447316840481,0.125,0.625,0.375,0.543266867100221,0.543969464012253
60,300,600,60.4267255854921,14.0511727067451,13.9447316840481,0.2,1,0.6,0.573488351136175,0.52941267247562
180,240,600,39.1320583288012,114.98756651269,13.9447316840481,0.75,1.25,1,0.58925565098879,0.359783885748715
60,120,300,60.4267255854921,191.004163889697,14.0511727067451,0.5,1.25,0.875,0.60667582410671,0.387656778320434
120,240,600,191.004163889697,114.98756651269,13.9447316840481,0.5,1.25,0.875,0.60667582410671,0.387656778320434
120,180,480,191.004163889697,39.1320583288012,17.8406614295647,0.666666666666667,1.33333333333333,1,0.666666666666667,0.375
60,240,600,60.4267255854921,114.98756651269,13.9447316840481,0.25,1.25,0.75,0.716860438920219,0.544160923910484
60,180,480,60.4267255854921,39.1320583288012,17.8406614295647,0.333333333333333,1.33333333333333,0.833333333333333,0.74535599249993,0.501733107449679
60,120,360,60.4267255854921,191.004163889697,47.9706294563131,0.5,1.5,1,0.849836585598797,0.448763733927875
120,180,600,191.004163889697,39.1320583288012,13.9447316840481,0.666666666666667,1.66666666666667,1.16666666666667,1,0.45
